L165102	u4840	m323	ARGYLE	Just remember that when you sign for the tip.  They're paying for it so don't be shy.
L165101	u4846	m323	MCCLANE	You're all right Argyle.
L165099	u4846	m323	MCCLANE	I'll find someplace.
L165098	u4840	m323	ARGYLE	What is it don't work out that way? Where you gonna stay?
L165097	u4846	m323	MCCLANE	It's corny but I could live with it.
L165096	u4840	m323	ARGYLE	So you go on upstairs to the party your lady sees you you run into each other's arms.  Music comes up you live happily ever after that it?
L165094	u4840	m323	ARGYLE	That is Christmas music.
L165093	u4846	m323	MCCLANE	How 'bout some Christmas music?
L165092	u4840	m323	ARGYLE	Mind if I play some tunes?
L165091	u4846	m323	MCCLANE	Like I said Argyle...you're fast.
L165090	u4840	m323	ARGYLE	You mean you thought she wouldn't make it out here and she'd come crawling on back so why bother to pack?
L165089	u4846	m323	MCCLANE	'Cause I'm a New York cop who used to be a New York kid and I got six months backlog of New York scumbags I'm still trying to put behind bars. I don't just get up and move.
L165088	u4840	m323	ARGYLE	So why didn't you come?
L165087	u4846	m323	MCCLANE	Closer to Japan.  You're fast.
L165086	u4840	m323	ARGYLE	But meant her moving here.
L165085	u4846	m323	MCCLANE	She had a good job it turned into a great career.
L165084	u4840	m323	ARGYLE	So you divorced of what?
L165083	u4846	m323	MCCLANE	It's okay it's okay.
L165082	u4840	m323	ARGYLE	Hey I'm sorry.  When I was a cabdriver see people expected a little chit chat a little eccentricity and comaraderie I forgot how stuck up you limo guys were so excuse me.
L165081	u4846	m323	MCCLANE	You're nosey you know that Argyle?
L165080	u4840	m323	ARGYLE	Meanwhile you still live in New York?
L165079	u4846	m323	MCCLANE	The past six months.
L165078	u4840	m323	ARGYLE	The girl was off today.  Hey I didn't expect you to sit up front.  So your lady live out here?
L165077	u4846	m323	MCCLANE	Married.
L165076	u4840	m323	ARGYLE	If your friend is hot to trot...I know a couple of mama bears.  ...Or is he married?
L165074	u4846	m323	MCCLANE	That's okay.  This is my first time riding in one.
L165073	u4840	m323	ARGYLE	Do I?  I'm sorry.  You're gonna have to help me man.  This is my first time driving a limo.
L165072	u4846	m323	MCCLANE	Argyle.  Don't you take this stuff?
L165071	u4840	m323	ARGYLE	Argyle.  I'm your limo driver.  Hey nice bag.
L165070	u4846	m323	MCCLANE	I'm John McClane.
L165611	u4841	m323	BIG JOHNSON	We must shut down the building.  Go wider --!
L165610	u4848	m323	ROBINSON	-- ten blocks?  Are you crazy?  It's Christmas Eve thousands of people -- the Mayor'll scream bloody murder --
L165548	u4841	m323	BIG JOHNSON	If he's not a terrorist and he's not a hostage...he's just not part of the equation.
L165547	u4848	m323	ROBINSON	No sir.
L165546	u4841	m323	BIG JOHNSON	One of yours?
L165530	u4841	m323	BIG JOHNSON	Not any more.
L165529	u4848	m323	ROBINSON	Dwayne Robinson LAPD.  I'm in charge here.
L165528	u4841	m323	BIG JOHNSON	I'm Special Agent Johnson of the FBI. This is Agent Johnson...no relation.
L165448	u4842	m323	ELLIS	Hey I negotiate million dollar deals for breakfast.  I can handle these clowns.  I want to talk to Hans.  Hans! Sprickenzie talk?
L165447	u4844	m323	HOLLY	What are you going to do?
L165446	u4842	m323	ELLIS	I'm tired of sitting here waiting to see who gets us killed first... them...or your husband.  Hi there.
L165445	u4844	m323	HOLLY	Where are you going?
L165242	u4844	m323	HOLLY	Tell that to Mr. Takagi.
L165241	u4842	m323	ELLIS	His 'job' is 3000 miles away.  Without him they might let us go...at least we have a chance...
L165240	u4844	m323	HOLLY	How about his job?
L165239	u4842	m323	ELLIS	John?  Christ he could fuck this whole thing up...what does he think he's doing?
L165238	u4844	m323	HOLLY	John.
L165237	u4842	m323	ELLIS	The police...?
L165236	u4844	m323	HOLLY	They don't look happy...something's gone wrong.
L165235	u4842	m323	ELLIS	What's happening?
L165487	u4842	m323	ELLIS	John how can you say that after all these years--?  John?  John?
L165486	u4846	m323	MCCLANE	That asshole's not my friend! I barely know him!  I hate his fucking guts --  -- Ellis for Christ's sake tell him you don't mean shit to me --
L165485	u4842	m323	ELLIS	What am I a method actor?  Hans babe put away the gun.  This is radio not television...
L165483	u4846	m323	MCCLANE	Don't you think I know that!  Put Hans on!  Hans listen to me that shithead doesn't know what kind of scum you are but I do --
L165482	u4842	m323	ELLIS	John I think you could get with the program a little.  The police are here now.  It's their problem. Tell these guys where the detonators are so no one else gets hurt.  Hey I'm putting my life on the line for you buddy...
L165478	u4842	m323	ELLIS	Tell me about it.
L165477	u4846	m323	MCCLANE	Ellis...you shouldn't be doing this...
L165476	u4842	m323	ELLIS	I told them we're old friends and you were my guest at the party.
L165475	u4846	m323	MCCLANE	Ellis what have you told them?
L165474	u4842	m323	ELLIS	John they're giving me a few minutes to try and talk some sense into you. I know you think you're doing your job and I can appreciate that but you're just dragging this thing out. None of us gets out of here until these people can negotiate with the LA police and they're just not gonna start doing that until you stop messing up the works.
L165460	u4842	m323	ELLIS	The guy upstairs who's fucking things up?  I can give him to you.
L165459	u4843	m323	HANS	I must have missed 60 Minutes.  What are you saying?
L165458	u4842	m323	ELLIS	Hey business is business.  You use a gun I use a fountain pen what's the difference?  To put it in my terms you're here on a hostile takeover and you grab us for some greenmail but you didn't expect a poison pill was gonna be running around the building.  Hans baby...I'm your white knight.
L165457	u4843	m323	HANS	You're amazing.  You figured this all out already?
L165456	u4842	m323	ELLIS	Hey I read the papers I watch 60 minutes I say to myself these guys are professionals they're motivated they're happening. They want something.  Now personally I don't care about your politics. Maybe you're pissed at the Camel Jockeys maybe it's the Hebes Northern Ireland that's none of my business.  I figure You're here to negotiate am I right?
L165455	u4843	m323	HANS	You're very perceptive.
L165453	u4843	m323	HANS	What does he want?
L165452	u4842	m323	ELLIS	Hope I'm not interrupting...?
L165505	u4843	m323	HANS	I read about them in Time magazine.  When these Revolutionary Brothers and Sisters are Free the hostages in this building will be taken to the roof and they will accompany us in helicopters to the Los Angeles International Airport where you will be given further instructions.  You have two hours to comply.
L165504	u4845	m323	KARL	'Asian Dawn Movement?'
L165451	u4845	m323	KARL	I don't want neutral...I want dead --
L165450	u4843	m323	HANS	If you'd listened to me he would be neutralized already!
L165449	u4845	m323	KARL	-- you wouldn't let me kill him when I had the chance --
L165325	u4843	m323	HANS	He had the detonators!  Theo?  Theo!
L165324	u4845	m323	KARL	He wasn't lying about Marco:  He's thirty stories down on the street. The other man is Heinrich and I found his body upstairs.  And his bag is missing.
L165267	u4843	m323	HANS	Karl I know you want him but the police are probably on their way. Maybe we can convince them it was all a mistake but not if they hear gunshots! If you lock him in he'll be neutralized -- now do it!  Karl?  Karl!
L165266	u4845	m323	KARL	Hans he killed by brother --
L165234	u4845	m323	KARL	And if he alters it...?						*
L165233	u4843	m323	HANS	No.  Heinrich's team must finish planting the detonators...and Theo needs time on the vault.  After the			* police come they'll waste hours trying to negotiate...that's when we search			* for this man.  Until then...we do not alter the plan.
L165232	u4845	m323	KARL	He was my only brother...my only family!  I want blood for my blood.  We search...now.
L165231	u4843	m323	HANS	I know what you are feeling.  But this is not productive --
L165202	u4843	m323	HANS	See to Heinrich...  Now...you can break the code key...?
L165201	u4845	m323	KARL	Nothing...
L165199	u4843	m323	HANS	Okay.
L165198	u4849	m323	TAKAGI	I don't know it!  get on a Goddamn jet to Tokyo and ask the chairman! I'm telling you!  You're just going to have to kill me --
L165193	u4849	m323	TAKAGI	It's useless to you!  There's seven safeguards on our vault and the code key is only one of them!  You'll never get it open!
L165192	u4843	m323	HANS	The code key please...?
L165191	u4843	m323	HANS	Who said we were terrorists?
L165190	u4849	m323	TAKAGI	You want...money?  What kind of terrorists are you?
L165189	u4843	m323	HANS	Yes...I know about them.  The code key is a necessary step in accessing the vault.
L165182	u4849	m323	TAKAGI	This is what this is about?  Out building project in Indonesia? Contrary to what you people think we're going to develop that region... not 'exploit' it.
L165181	u4843	m323	HANS	It's beautiful.  I always enjoyed models as a boy.  The exactness the attention to every foreseeable detail... perfection.
L165689	u4843	m323	HANS	'Yippe-ki-yea mother fucker'?  Now you are fucked.
L165688	u4846	m323	MCCLANE	Whoa Hans now you're the cowboy?
